shape,gamma,n_verts,k,gss,sphericity,aspect_ratio,aspect_ratio_e1e2,murakami,area,volume,gss_mean,gss_sd,n_replicates,failed_seeds
g00,0.5,784,497,0.07914837514711207,0.9273023152116849,1.9996464922214443,1.9995189566774252,1.3530257721638925,12.5109462683725,3.7157036388015015,0.07875148907146452,0.000287374714648441,9,
g01,0.5358867312681466,783,496,0.08965721371001933,0.9395961102586307,1.8689074742622989,1.8688099527812099,1.3936265328795179,12.511230858529554,3.789969241172022,0.08961850022867202,0.00038792341742957667,9,
g02,0.5743491774985175,791,501,0.10075273005919182,0.9509749519741872,1.7414697040185654,1.7401339028973943,1.4346123125032877,12.511696935848157,3.859239707820601,0.10117289427665965,0.0002549807354825805,9,
g03,0.6155722066724582,770,488,0.11426172458662466,0.9613650395928001,1.6258951768251688,1.6240664569594132,1.4762512977246305,12.510234950589059,3.921972097795718,0.11405173232955919,0.0005111177835536952,9,
g04,0.6597539553864471,775,490,0.12900262958992453,0.9707722104873662,1.5145424224117914,1.5141181193749076,1.5182201625852147,12.510594266844617,3.979850204473221,0.12882170022634626,0.0002990793429666313,9,
g05,0.7071067811865476,765,484,0.14593339952792256,0.9789551738730626,1.412592443482539,1.4104854729067422,1.5601409024151836,12.509745164509265,4.029867031253991,0.1460553014550762,0.00018766297800784271,9,
g06,0.757858283255199,763,483,0.1642937908153364,0.9859055501249754,1.318685180270142,1.3178597607047948,1.6023486152102893,12.50981403446892,4.0728935650789095,0.16478202617676838,0.00047224500931786103,9,
g07,0.8122523963562355,748,476,0.18530398040261836,0.9914421342843247,1.2291222776378279,1.2288768034614033,1.6439230559522924,12.509167680617367,4.1069318079768085,0.1854166267118858,0.00022897132141428789,9,
g08,0.8705505632961241,757,478,0.2067584106661275,0.9954899254646532,1.1485164106230636,1.1452323056892488,1.6858307836696567,12.509460038961574,4.132253567851923,0.2067454225626563,0.0004973099465979613,9,
g09,0.9330329915368074,731,465,0.22949415081016816,0.997984316137631,1.0713533927548031,1.0707503510155199,1.72699271217088,12.508040680178054,4.147088611292879,0.2295275143147099,0.00035927798096153474,9,
g10,1.0,760,484,0.25249186284312264,0.9988489377409914,1.00155645202595,1.0010868748979904,1.768840775447416,12.509539120041726,4.15322534645266,0.25208235734603607,0.00038718360946793785,9,
g11,1.0717734625362931,745,473,0.275225640873426,0.9979750225728871,1.0708243410964975,1.0000359467979383,1.809248805260507,12.509035676278039,4.147525527865686,0.2756179318224219,0.00035613439141121326,9,
g12,1.1486983549970349,756,479,0.29967018779019433,0.9953511035206456,1.1496923210847922,1.0009279002189981,1.848765565305663,12.509633224289676,4.131475023292741,0.2994950294978352,0.00046643049179738514,9,
g13,1.231144413344916,753,477,0.3236106001529825,0.9909383129601366,1.2329827731118506,1.000399025493721,1.8879224909388221,12.509357527047413,4.10389509821831,0.32331912698544474,0.0002567820864791456,9,
g14,1.3195079107728942,765,485,0.3475890875541492,0.9847740884984452,1.318269885678039,1.0014933555492358,1.9259188113328387,12.509735269452435,4.065845872699197,0.34717789247140246,0.00042128740475164323,9,
g15,1.414213562373095,761,483,0.37007979240193006,0.9767801530218627,1.4157698045088645,1.000475886838734,1.9633855288780764,12.509559769222756,4.016355004580153,0.37023391431029684,0.0003695211777740963,9,
g16,1.515716566510398,762,484,0.39353984168877776,0.9670598737773903,1.5147908328555708,1.0001780378464655,1.999396408813528,12.509563015274233,3.956553724587225,0.39319124265241684,0.0003577475382073904,9,
g17,1.624504792712471,786,494,0.4156177793242696,0.9556309384941273,1.6227651214519778,1.0008301848460817,2.033627790220118,12.511434569488763,3.8874944246623344,0.41551156720182153,0.000398412245755971,9,
g18,1.7411011265922482,772,487,0.43733585354655835,0.9425281232046906,1.7434923556099782,1.00015811802223,2.067434935337696,12.510188537595944,3.807247164856477,0.4370016738105629,0.0003508776366359707,9,
g19,1.8660659830736148,781,489,0.45792226945547376,0.9278590547977952,1.8655019787227205,1.000289479327458,2.098657676936666,12.510386664847026,3.7188009052889117,0.45747044861315916,0.00037294967641542017,9,
g20,2.0,781,492,0.4769304285580802,0.9117818523449451,2.0002745740156787,1.0006197570715885,2.129652602070885,12.51106189164211,3.622859468804181,0.4771098263217933,0.000374401776358174,9,
